,Unnamed: 0,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
0,5,10,4345,2.80322209436,88.8515234581,0.6,0.00552560954145,0.0247112771036,0.0,0.110512190829,88.8459978486,88.8459978486
1,12,12,4070,2.96265356265,92.7115430584,0.3,0.00550778522817,0.0246315643513,0.0,0.110155704563,92.7060352732,92.7060352732
2,25,14,3777,3.14058776807,114.451480083,0.6,0.00631100277485,0.0282236624215,0.0,0.126220055497,114.44516908,114.44516908
3,37,16,3543,3.28873835732,107.661516433,0.8,0.00625804656038,0.0279868350307,0.0,0.125160931208,107.655258387,107.655258387
4,42,18,3267,3.53045607591,117.44496814,0.3,117.342094543,4.03410562762,108.642576142,125.053282905,0.102873597016,0.102873597016
5,52,20,3007,3.78250748254,116.756341319,0.3,108.04718045,3.46171123112,102.150666856,113.970657404,8.70916086876,8.70916086876
6,61,22,2835,3.89770723104,130.715054666,0.2,133.146249618,2.01410006416,129.489733483,136.455824894,-2.43119495177,2.43119495177
7,71,24,2588,4.21638330757,125.786300473,0.2,120.992089636,2.20744754649,117.227141184,124.355845532,4.79421083773,4.79421083773
8,81,26,2435,4.44024640657,118.165187905,0.2,114.623481735,0.956571948316,113.153551011,116.319539485,3.54170616986,3.54170616986
9,91,28,2271,4.69220607662,105.404782703,0.2,107.029560615,1.89410844861,103.919058402,111.312848069,-1.62477791211,1.62477791211
10,100,30,2109,4.89521100047,110.843652194,0.1,108.787994909,1.13554958852,106.38604345,110.278699935,2.05565728579,2.05565728579
11,112,32,1964,5.366598778,73.6362844787,0.3,72.0381370676,2.2494240187,66.954340376,75.3259867858,1.59814741112,1.59814741112
12,120,34,1802,5.47169811321,101.291179536,0.1,92.8711109269,1.06553729277,90.4278440689,94.796449732,8.4200686088,8.4200686088
13,130,36,1669,5.73517076093,97.3503039723,0.1,76.129178032,0.399842441882,75.2363413711,76.7648035311,21.2211259403,21.2211259403
14,140,38,1581,6.05439595193,82.7236977342,0.1,72.1559509308,0.402070179203,71.3889980482,73.0966688646,10.5677468035,10.5677468035
15,151,40,1460,6.81643835616,56.9358275035,0.2,57.5082934696,1.03242743427,55.3236237296,59.3671972831,-0.572465966159,0.572465966159
16,161,42,1384,6.74710982659,58.3796884422,0.2,54.8805622892,0.890076051482,52.9813096851,56.5618697526,3.49912615302,3.49912615302
17,170,44,1287,6.89976689977,61.1304758193,0.1,58.9323877625,0.55645002047,57.8551660936,59.8502735584,2.19808805679,2.19808805679
18,180,46,1222,6.91489361702,63.7715575338,0.1,56.1915735091,0.368719555692,55.4027355413,56.7510892091,7.57998402473,7.57998402473
19,190,48,1137,7.58135444151,50.6918221674,0.1,44.0660940837,0.258651662463,43.5334529251,44.4834194925,6.62572808366,6.62572808366
20,200,50,1058,8.53875236295,39.1628733058,0.1,41.0070399707,0.284522363629,40.582599597,41.8651790871,-1.84416666484,1.84416666484
21,211,52,994,8.93360160966,33.8994483346,0.2,32.3656132303,0.48234638995,31.6422380795,33.4207704585,1.53383510426,1.53383510426
22,220,54,941,8.96493092455,37.8707761835,0.1,36.7877342898,0.234530583428,36.4205300919,37.1784402791,1.08304189368,1.08304189368
23,231,56,878,9.37585421412,30.8074199049,0.2,28.433852878,0.614489035604,27.5452773797,29.7695847962,2.37356702685,2.37356702685
24,240,58,829,9.54885404101,30.2719459533,0.1,27.6698777024,0.137178206416,27.4139192405,27.9105496752,2.60206825085,2.60206825085
25,250,60,792,9.7398989899,29.8031345642,0.1,26.4876247264,0.159517739663,26.1035571257,26.7567813171,3.31550983774,3.31550983774
26,260,62,748,10.7219251337,24.5299260961,0.1,24.9927330331,0.22505936556,24.6346909956,25.4607053585,-0.462806937074,0.462806937074
27,270,64,698,10.2693409742,23.8375428139,0.1,23.3821654867,0.204124543203,22.8407820153,23.766993444,0.455377327232,0.455377327232
28,280,66,659,11.5144157815,20.537202385,0.1,19.161678719,0.205522016272,18.8599665902,19.4664890905,1.375523666,1.375523666
29,290,68,623,11.2937399679,21.0378377515,0.1,20.9375542655,0.193390478468,20.5530820029,21.3280139433,0.100283485984,0.100283485984
30,300,70,582,11.9209621993,18.7216574189,0.1,16.9756794807,0.197336358321,16.7127400292,17.327464218,1.74597793827,1.74597793827
31,310,72,559,12.7441860465,16.2957467736,0.1,16.4559593888,0.127180634399,16.2498069688,16.6959549296,-0.160212615187,0.160212615187
32,320,74,526,13.1102661597,14.5152195718,0.1,15.4105029518,0.178792622459,14.9990316005,15.7400346301,-0.895283380052,0.895283380052
33,330,76,506,14.3003952569,12.8558885398,0.1,13.1401855261,0.128063946549,12.8732702316,13.4057340554,-0.284296986299,0.284296986299
34,340,78,479,14.7056367432,11.5132345956,0.1,12.4386986594,0.110120600719,12.2014270257,12.6235231829,-0.925464063736,0.925464063736
35,350,80,463,14.7041036717,11.7092132693,0.1,12.0395418717,0.0867277562692,11.916280371,12.2235036427,-0.330328602403,0.330328602403
36,360,82,442,16.2986425339,9.5897330178,0.1,10.2844105733,0.0849635119481,10.1450419193,10.470136665,-0.694677555543,0.694677555543
37,370,84,429,15.7855477855,9.97988242914,0.1,9.95923149867,0.119731827648,9.75502658587,10.1757233751,0.0206509304741,0.0206509304741
38,381,86,425,14.8988235294,9.77117802933,0.2,8.77945122211,0.198263327188,8.38141459036,9.19924815204,0.991726807215,0.991726807215
39,390,88,387,16.3410852713,9.32533862133,0.1,9.05104445498,0.138698874378,8.83517015436,9.31067933546,0.274294166352,0.274294166352
40,400,90,377,16.7639257294,8.24889885176,0.1,8.75896087182,0.0822722317242,8.59635535348,8.97144979952,-0.510062020057,0.510062020057
41,410,92,359,16.9470752089,7.52434691004,0.1,8.35498468088,0.0926184461162,8.15360616021,8.5330910417,-0.830637770844,0.830637770844
42,420,94,342,17.6900584795,7.1808832171,0.1,7.21305193129,0.0842290845589,7.04081611612,7.3289893549,-0.032168714189,0.032168714189
43,430,96,327,17.620795107,7.0757538339,0.1,6.89631390209,0.0681553879987,6.78449801253,7.05250245167,0.179439931803,0.179439931803
44,440,98,321,17.7507788162,6.38372712152,0.1,6.76829373614,0.0918649627109,6.58860728945,7.02764139383,-0.384566614623,0.384566614623
45,450,100,314,18.949044586,6.58377996082,0.1,6.61496542479,0.079732376292,6.46596537827,6.74017929374,-0.0311854639629,0.0311854639629
46,460,102,295,18.4745762712,6.30067740025,0.1,6.26563317401,0.0754645794356,6.13455671084,6.44003152433,0.0350442262393,0.0350442262393
47,470,104,286,17.993006993,6.46297372559,0.1,6.05161771097,0.0757056712393,5.93765188438,6.18622767571,0.411356014614,0.411356014614
48,480,106,278,18.2589928058,6.24230714595,0.1,5.88028560691,0.0775173187454,5.71462152737,6.03873471536,0.362021539038,0.362021539038
49,490,108,265,19.4867924528,5.35833788013,0.1,5.59091497726,0.0846494156343,5.40948556095,5.79484424712,-0.232577097125,0.232577097125
50,500,110,256,20.78125,5.33475338155,0.1,4.90794428517,0.0637954238348,4.79221695622,5.00687994672,0.426809096384,0.426809096384
51,510,112,240,21.0333333333,4.60533937879,0.1,4.60736820323,0.0586246492957,4.51577336923,4.70999184564,-0.00202882444206,0.00202882444206
52,520,114,232,20.8534482759,4.51652707007,0.1,4.45209528332,0.070540507576,4.32735688627,4.57871762959,0.06443178675,0.06443178675
53,530,116,229,20.5327510917,4.72057859697,0.1,4.42287351021,0.0557063885028,4.30427056991,4.5236897993,0.297705086758,0.297705086758
54,540,118,225,21.1466666667,4.76843357465,0.1,4.31790564945,0.0657465554692,4.17059503471,4.45290271663,0.450527925201,0.450527925201
55,550,120,214,22.1308411215,4.34392228782,0.1,3.77193801604,0.0535436907256,3.66578528264,3.86579240539,0.571984271779,0.571984271779
