Cell-size,Nodes,Edges,Average Degree,Gamma,Clustering,Average Path Length,Small-worldness,Entropy,Disequilibrium,Complexity
10,4345,6090,2.8032,2.1511,0.0394,5.5843,88.8515,0.0771,0.0312,0.0024
12,4070,6029,2.9627,2.5204,0.0451,5.1144,92.7115,0.0939,0.0291,0.0027
14,3777,5931,3.1406,2.5501,0.0615,4.6479,114.4515,0.11,0.0277,0.003
16,3543,5826,3.2887,2.5399,0.0641,4.4053,107.6615,0.124,0.0266,0.0033
18,3267,5767,3.5305,2.6329,0.0814,4.112,117.445,0.1417,0.0262,0.0037
20,3007,5687,3.7825,2.2007,0.0957,3.9207,116.7563,0.1592,0.0259,0.0041
22,2835,5525,3.8977,2.3315,0.1139,3.7026,130.7151,0.1723,0.0245,0.0042
24,2588,5456,4.2164,2.2828,0.1326,3.5332,125.7863,0.1913,0.0252,0.0048
26,2435,5406,4.4402,2.0904,0.1422,3.4512,118.1652,0.2044,0.0243,0.005
28,2271,5328,4.6922,2.1687,0.1468,3.3695,105.4048,0.2136,0.0261,0.0056
30,2109,5162,4.8952,1.9697,0.1713,3.2091,110.8437,0.2325,0.0261,0.0061
32,1964,5270,5.3666,2.1376,0.147,3.2974,73.6363,0.2454,0.0272,0.0067
34,1802,4930,5.4717,1.9448,0.2115,3.0337,101.2912,0.2565,0.0276,0.0071
36,1669,4786,5.7352,2.0096,0.2324,2.9513,97.3503,0.2725,0.0274,0.0075
38,1581,4786,6.0544,1.7763,0.2283,2.948,82.7237,0.2831,0.0297,0.0084
40,1460,4976,6.8164,1.6412,0.2119,3.0265,56.9358,0.2947,0.0342,0.0101
42,1384,4669,6.7471,1.7995,0.2199,2.9278,58.3797,0.3039,0.0326,0.0099
44,1287,4440,6.8998,1.7909,0.2489,2.8155,61.1305,0.3204,0.0329,0.0105
46,1222,4225,6.9149,2.0006,0.2699,2.7499,63.7716,0.3284,0.0313,0.0103
48,1137,4310,7.5814,1.8437,0.266,2.7334,50.6918,0.3442,0.033,0.0114
50,1058,4517,8.5388,1.7291,0.2691,2.7649,39.1629,0.3572,0.037,0.0132
52,994,4440,8.9336,1.7338,0.264,2.7307,33.8994,0.3749,0.0384,0.0144
54,941,4218,8.9649,1.7164,0.3074,2.6597,37.8708,0.3804,0.038,0.0144
56,878,4116,9.3759,1.6258,0.2873,2.6448,30.8074,0.3899,0.0409,0.0159
58,829,3958,9.5489,1.5739,0.304,2.5965,30.2719,0.4072,0.0413,0.0168
60,792,3857,9.7399,1.4044,0.3207,2.5658,29.8031,0.4082,0.0445,0.0182
62,748,4010,10.7219,1.455,0.3225,2.5587,24.5299,0.4221,0.0456,0.0192
64,698,3584,10.2693,1.6855,0.3087,2.4745,23.8375,0.4394,0.043,0.0189
66,659,3794,11.5144,1.5563,0.3337,2.4701,20.5372,0.4563,0.0462,0.0211
68,623,3518,11.2937,1.447,0.3454,2.4042,21.0378,0.4642,0.0466,0.0216
70,582,3469,11.921,1.435,0.3532,2.3658,18.7217,0.4806,0.047,0.0226
72,559,3562,12.7442,1.4339,0.3578,2.3939,16.2957,0.4944,0.0507,0.0251
74,526,3448,13.1103,1.3977,0.3448,2.3201,14.5152,0.5086,0.0482,0.0245
76,506,3618,14.3004,1.3067,0.3657,2.356,12.8559,0.5173,0.0509,0.0263
78,479,3522,14.7056,1.2245,0.3654,2.3735,11.5132,0.5193,0.0528,0.0274
80,463,3404,14.7041,1.3767,0.3853,2.3657,11.7092,0.5295,0.0532,0.0282
82,442,3602,16.2986,1.2631,0.3869,2.388,9.5897,0.5441,0.0586,0.0319
84,429,3386,15.7855,1.2392,0.3892,2.3286,9.9799,0.5488,0.059,0.0324
86,425,3166,14.8988,1.1956,0.3561,2.329,9.7712,0.541,0.058,0.0314
88,387,3162,16.3411,1.351,0.4219,2.2851,9.3253,0.5649,0.0617,0.0349
90,377,3160,16.7639,1.0862,0.3983,2.2848,8.2489,0.5709,0.0583,0.0333
92,359,3042,16.9471,1.0446,0.3812,2.2312,7.5243,0.586,0.06,0.0352
94,342,3025,17.6901,1.1414,0.4099,2.2414,7.1809,0.592,0.0613,0.0363
96,327,2881,17.6208,1.1322,0.413,2.1858,7.0758,0.6031,0.0612,0.0369
98,321,2849,17.7508,1.0789,0.3864,2.1964,6.3837,0.6088,0.0551,0.0336
100,314,2975,18.949,1.1726,0.4502,2.2147,6.5838,0.6012,0.0627,0.0377
102,295,2725,18.4746,1.0318,0.4407,2.1777,6.3007,0.6104,0.0621,0.0379
104,286,2573,17.993,1.0462,0.4499,2.1656,6.463,0.6198,0.0619,0.0384
106,278,2538,18.259,0.8877,0.4649,2.1969,6.2423,0.6151,0.0619,0.038
108,265,2582,19.4868,1.0549,0.4517,2.1537,5.3583,0.644,0.0659,0.0424
110,256,2660,20.7813,1.0709,0.509,2.1481,5.3348,0.6411,0.0725,0.0465
112,240,2524,21.0333,0.8882,0.4756,2.1202,4.6053,0.6547,0.0698,0.0457
114,232,2419,20.8534,0.9819,0.4785,2.1135,4.5165,0.6753,0.0655,0.0442
116,229,2351,20.5328,1.0269,0.4946,2.1011,4.7206,0.6748,0.0719,0.0485
118,225,2379,21.1467,0.8447,0.5342,2.1156,4.7684,0.6578,0.0741,0.0488
120,214,2368,22.1308,0.7787,0.546,2.1057,4.3439,0.6724,0.0765,0.0515
